"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","MP Steam Line for RA Duct","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works (Man power supply)","Normal","Completed","Oct-12","Nov-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Design Fabrication & Installation of Ammonia Line between IBB & Al bayroni","SABIC","AL-BAYRONI","Plant Services","Jubail","Design, Supply, Fabrication, Construction along With Commisioning, (Mechanical, Civil, E & I Works)","Normal","Completed","Aug-12","Mar-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/12.png"
"Oil & Gas","Construction Of Amine Surge Tank & Replacement During S/D.","SAMREF ","SAMREF ","Plant Services","Yanbu","Design, Procurement,
Fabrication & Construction Works","Normal","Completed","Sep-12","Jul-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Oil & Gas","Repair of Caustic Tank During ShutDown","SAMREF ","SAMREF ","Plant Services","Yanbu","Procurement,
Fabrication & Construction Works","Normal","Completed","Sep-12","Jul-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Petrochemical","Engineering Fabrication and Installation of Handhole & N2 Purging Nozzles","TASNEE","TASNEE","Plant Services","Jubail","Engineering, Construction. (Mechanical Works)","Normal","Completed","Jul-13","Jul-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Installation of Fire Fighting System at Tasnee ","TASNEE","SAMSUNG","Plant Services","Jubail","Supply, Contruction work Like Piping/ Repair welding 7 Painting & NDT, (Mechanical Works)","Normal","Completed","Jul-12","Feb-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Ship Loading arm base plate modification and other misc. structure modification","TASNEE","SAMSUNG","Plant Services","Jubail","Modification Of Plateform At Berth, Base Plate Modification Of Loading Arm At Two Different Berths. (Mechanical Works)","Normal","Completed","Oct-12","Jul-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Emergency Shut Down/Spool Repair and other maintenance Work","SABIC","IBN-SINA","Plant Services","Jubail","Mechanical Works","Normal","Completed","May-12","Jun-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/10.png"
"Oil & Gas","Installation of Nitrogen Compressor","SABIC","Gas Jubail","Plant Services","Jubail","Mechanical, Civil, Electrical & Instrumentation Works","Normal","Completed","May-12","Nov-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Connecting the pump with pipe","TASNEE","TASNEE","Plant Services","Jubail","Mechanical work along with piping modification","Normal","Completed","May-12","Jun-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Removal & Installation of Temporary Spools","SABIC","PetroKemya","Plant Services","Jubail","Removal & Installation of temporary spools","Normal","Completed","Apr-12","May-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","Distributor Pipe and Nozzle Fabrication & Repair","SABIC","SHARQ","Plant Services","Jubail","Mechanical Works","Normal","Completed","Apr-12","May-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Repair of Condensate Tank","CHEMANOL","CHEMANOL","Plant Services","Jubail","Mechanical Works","Normal","Completed","Feb-12","Feb-12","Jul-05","",""
"Petrochemical","Oil Dispensing Shelter","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works","Normal","Completed","Jan-12","Dec-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Repair of Heat Exchanger and Associated Piping Modification","CHEMANOL","CHEMANOL","Plant Services","Jubail","Mechanical Works","Normal","Completed","Jan-12","Dec-12","Jul-05","",""
"Petrochemical","TASNEE – Fencing of Scrap Yard","TASNEE","TASNEE","Plant Services","Jubail","Mechanical and Civil","Normal","Completed","Dec-11","Feb-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","New NDB Feeders for Line 1 & 2
for PP – I Plant, Ibn Zahr Project","SABIC / IBN ZAHR","SCHENCK
PROCESS, Gbmh","Plant Services","Jubail","Piping, Equipment, (Mechanical, Civil,  Electrical & Inst.)","Normal","Completed","Jun-11","Aug-11","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","TASNEE – Water Washing System Installation","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works","Normal","Completed","Dec-11","Mar-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","AR-RAZI V DERRICK STRUCTURE MODIFICATION","SABIC / Ar-Razi","MHI","Plant Services","Jubail","Mechanical Works for AR-RAZI V DERRICK STRUCTURE MODIFICATION","Normal","Completed","Dec-11","Dec-11","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Petrochemical","E & I Works for SADARA Propylene Oxide Project","SADARA","TEKFEN","Electrical & Instrumentation","Jubail","E & I Works, (Power system installation, Grounding & lightening works, Lighting fixture installation along with instrumentation works)","Major","Completed","Jan-14","Jun-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Metal","REPAIR ARP CABLE TRAY - TSZP000715","SABIC","HADEED","Electrical & Instrumentation","Jubail","Supply & installation Of Cable Trays in the Acidic Envoirnment along with the cable Laying.","Normal","Completed","Jan-14","Jul-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Metal","Cables & Chains Replacement - TSZP000718","SABIC","HADEED","Electrical & Instrumentation","Jubail","Cable laying & Lighting Fixtures Replacement (Electrical Work)","Normal","Completed","Jan-14","Feb-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","SADARA Gas Supply Project.","SADARA","eTEC Arabia","Civil Construction","Jubail","Civil, Steel Structure, Building Works","Major","Completed","Dec-13","Aug-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","Repair of Crack","SABIC","Gas Jubail","Plant Services","Jubail","To provide welding services to fill up the cracks at Pressure Vessels.","Normal","Completed","Sep-13","Oct-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Heat Exchanger Replacement","TASNEE","TASNEE","Plant Services","Jubail","Inspection & Replacement old Heat Exchangers.","Normal","Completed","Apr-13","May-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical"," TGU Tie-In Work","SABIC","AL-BAYRONI","Plant Services","Jubail","Electrical / Instrumentation for Technical GradeUrea Project.","Normal","Completed","Mar-13","Apr-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/12.png"
"Petrochemical"," Sadara Aromatics Project","SADARA","JGC","Electrical & Instrumentation","Jubail","Construction of substations & Electrical & Instrumentation works","Major","Completed","Dec-12","Mar-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Construction of Water Treatment Facilities","Al-Khafji Joint Operations","JGC","Civil Construction","Khafji","Electrical & Instrumentation works for water treatment facility","Normal","Completed","Dec-12","Apr-13","Jul-05","",""
"Petrochemical","Warehouse Material Handling Service","SADARA","FLUOR","Site Projects","Jubail","Maintain and handle the Warehouse including preservation Materials in Lay Down Area","Major","Completed","Nov-12","Nov-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Upgrade of Laydown Area","SADARA","FLUOR","Construction Services","Jubail","Install Fence and expansion of Laydown Area","Normal","Completed","Mar-13","Apr-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Mixed Feed Cracker Project (MFC) ","SADARA","DAELIM","Electrical & Instrumentation","Jubail","Electrical Construction works for Mixed Feed Cracker","Major","Completed","Jun-12","Jun-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","PMDI & TDI Project(SADARA Isocyanate Project)","SADARA","DAELIM","Electrical & Instrumentation","Jubail","Scope of Work Includes MCC & Switchgears installation. Low voltage transformers and Power distribution panels installation, Power transformers installation. Testing of switchgear, MCC, transformers including breakers, CT, PT bus bars & various relays.Installation of lighting fixtures. Installation of conduit, cable tray and cable pulling, Cable glanding, termination & testing. Grounding system installation. Heat tracing & cathodic protection system.Instrument calibration, Instrument JB installation. Instrument DCS & PLC, SCADA panels installation, Wiring, glanding & termination, Cable tray, conduit, duct bank installation. Loop check, Inst. Impulse tubing & Inst. Air line installation and leak test.","Normal","Completed","Jun-12","Sep-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Structure Modification","TASNEE","TASNEE","Plant Services","Jubail","Installation of Beams at HDPE plant during S/D","Normal","Completed","Jan-12","Jan-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Fabrication & Installation of various size pipes on existing plant","TASNEE","SAMSUNG","Plant Services","Jubail","Interconnection Piping in Existing Tasnee Plant / Additional GRP Piping scope for Tie-in and Sea Water piping at TASNEE Plant","Normal","Completed","Apr-12","Jun-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","SADARA Tank Farm Project for ""site office for company and contractor"".","SADARA","DAEWOO ","Civil Construction","Jubail","The scope of work includes the construction of ""site office for company and contractor"".","Normal","Completed","Mar-12","Aug-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","KJO Transfer Function Project","Saudi Aramco","JGC","Civil Construction","Khafji","Project includes Construction, Civil, Mechanical & Electrical. Works for KJO Transfer Function Project","Major","Completed","Mar-12","Oct-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Tank Farm E & I Works.","SATORP ","DPL","Electrical & Instrumentation","Jubail","Electrical & Instrumentation works for Tank Farm Area","Major","Completed","Dec-11","Nov-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/26.png"
"Oil & Gas","E & I works for Gasoline Package EPC-3 at Yanbu Aramco Sinopec Refining Project-YASREF","Saudi Aramco","DAELIM","Electrical & Instrumentation","Yanbu","E & I Construction works for Package 3 for E & I works for Gasoline Package EPC-3 at Yanbu Aramco Sinopec Refining Project-YASREF","Major","Completed","May-11","Jul-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","E & I works for Gasoline Package EPC-4 at Yanbu Aramco Sinopec Refining Project-YASREF","Saudi Aramco","DAELIM","Electrical & Instrumentation","Yanbu","E & I Construction works for Package 4 for E & I works for Gasoline Package EPC-4 at Yanbu Aramco Sinopec Refining Project-YASREF","Major","Completed","Aug-11","Jul-14","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","UAE, PV Project, Ruwais.","TAKREER/ADNOC","SHOWA SHELL
SEKIYU K. K.","Electrical & Instrumentation","UAE","Installation &
Commissioning of Photovoltaic System","Major","Completed","Feb-11","Dec-11","Jul-05","",""
"Oil & Gas","Wasit Gas Program Project","Saudi Aramco","SK E & C","Civil Construction","Wasit","Construction of Temporary site facilities for Wasit Gas Program Project","Major","Completed","May-11","May-12","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Wasit Gas Program Project","Saudi Aramco","SAMSUNG","Civil Construction","Wasit","Construction of Temporary site facilities for Wasit Gas Program Project","Normal","Completed","Mar-11","Oct-11","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Arabian Chloro Vinyl Project - CA / EDC","SAHARA","DAELIM","Electrical & Instrumentation","Jubail","Electrical & Inst.
Works","Major","Completed","Dec-10","Jun-13","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Power","Rabigh Power Plant-II Project","SEC","DOSSAN","Electrical & Instrumentation","Yanbu","Installation & Commissioning of Instrumentation & Control system.","Major","Completed","Aug-11","May-14","Jul-05","",""
"Transportation & Infrastructure","Dubai Metro Project, Phase-I ","RTA
(Govt. of DUBAI)","MHI","Electrical & Instrumentation","UAE","Complete Electrical works package for Red Line","Major","Completed","Jan-07","Mar-10","Jul-05","",""
"Transportation & Infrastructure","Dubai Metro Project, Phase-II","RTA
(Govt. of DUBAI)","MHI","Electrical & Instrumentation","UAE","Complete Electrical works package for Green Line","Major","Completed","Aug-08","October 2010","Jul-05","",""
"Petrochemical","New NDB Feeders for Line 3 & 4
for PP – II Plant","SABIC / IBN ZAHR","SCHENCK
PROCESS, Gbmh","Electrical & Instrumentation","Jubail","Installation of Equipment, Piping Modification Platform, Foundation work including Electrical & Instrumentation works.","Normal","Completed","Jan-11","Mar-11","Jul-05","",""
"Transportation & Infrastructure","DUBAI International Airport
Expansion – II","GOVT. OF DUBAI, DEPT. OF CIVIL AVIATION","MHI","Electrical & Instrumentation","UAE","Electrical works for automated people movers concourse 2 & 3","Major","Completed","Apr-09","Mar-10","Jul-05","",""
"Petrochemical","NCP Package B, E & I works","National Chevron Philips Polymer Ltd.","DAELIM","Electrical & Instrumentation","Jubail","Complete Electrical & Instrumentation work for package B","Major","Completed","Mar-08","Dec-10","Jul-05","",""
"Petrochemical","E & I, PHLMS ","SABIC / SAUDI KAYAN","SAMSUNG","Electrical & Instrumentation","Jubail","Electrical & Instrumentation Construction, Testing & Commissioning product handling Warehouse.","Major","Completed","Apr-08","Aug-09","Jul-05","",""
